Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8319894005,2.41199243435;Liriodendron;tulipifera;ILE DE BERCY / LAC DAUMESNIL;2002361.0;Arbre;Jardin;BOIS DE VINCENNES;12-sept;;12-sept;214.0;21.0;A;Inconnue;;1930-01-01T01:00:00+01:00;1;2245;Tulipier
48.8462426895,2.25137540594;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;123330.0;Arbre;Jardin;PARIS 16E ARRDT;;;40005;210.0;16.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;21408;Erable
48.8341740278,2.4613206192;Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;2002376.0;Arbre;Jardin;BOIS DE VINCENNES;déc-25;;déc-25;422.0;30.0;M;Inconnue;;1784-01-01T01:02:49+00:53;1;28920;ChÃªne
48.8877361833,2.34350324718;Platanus;x hispanica;PARC MARCEL BLEUSTEIN BLANCHET;120299.0;Arbre;Jardin;PARIS 18E ARRDT;18-13;;28;349.0;27.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;150326;Platane
48.8426511702,2.29608898567;Celtis;australis;SQUARE SAINT-LAMBERT;112222.0;Arbre;Jardin;PARIS 15E ARRDT;15-mai;;151;225.0;18.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;153049;Micocoulier
48.8476114157,2.25314300756;Firmiana;simplex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136446.0;Arbre;Jardin;PARIS 16E ARRDT;;;30001;132.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;220714;Sterculier
48.8396441672,2.30097558498;Quercus;frainetto;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;113597.0;Arbre;Jardin;PARIS 15E ARRDT;;;106001;173.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;45899;ChÃªne
48.8521900449,2.34729161483;Robinia;pseudoacacia;SQUARE RENE VIVIANI;124358.0;Arbre;Jardin;PARIS 5E ARRDT;;;58;365.0;9.0;M;Inconnue;;1602-01-01T01:02:49+00:53;1;59645;Robinier
48.8810210944,2.39924431307;Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127516.0;Arbre;Jardin;PARIS 19E ARRDT;;;4;276.0;21.0;M;Inconnue;''Atropunicea'';1700-01-01T01:02:49+00:53;1;71451;HÃªtre
48.8303745987,2.41349281717;Acer;opalus;ILE DE BERCY / LAC DAUMESNIL;2002358.0;Arbre;Jardin;BOIS DE VINCENNES;12-mai;;12-mai;203.0;14.0;M;Inconnue;;1870-01-01T01:02:49+00:53;1;111456;Erable
48.8764740798,2.25749975507;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;2002387.0;Arbre;Jardin;BOIS DE BOULOGNE;16-déc;;1001001;335.0;28.0;M;Inconnue;;1850-01-01T01:02:49+00:53;1;161208;Sequoia
48.8587642227,2.29551496343;Fagus;sylvatica;JARDIN DU CHAMP DE MARS / C03;108183.0;Arbre;Jardin;PARIS 7E ARRDT;07-nov;;P00208022;194.0;7.0;A;Inconnue;''Pendula'';1700-01-01T01:02:49+00:53;1;180577;HÃªtre
48.863263161,2.24072476384;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002347.0;Arbre;Jardin;BOIS DE BOULOGNE;16-juil;;301001;311.0;28.0;M;Inconnue;;1859-01-01T01:02:49+00:53;1;186260;CyprÃ¨s Chauve
48.8846213312,2.34392438346;Platanus;orientalis;SQUARE LOUISE MICHEL;120588.0;Arbre;Jardin;PARIS 18E ARRDT;18-janv;;201;520.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;190083;Platane
48.8577724998,2.29724575606;Eucommia;ulmoides;JARDIN DU CHAMP DE MARS;107696.0;Arbre;Jardin;PARIS 7E ARRDT;07-févr;;P0061402;189.0;15.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;191197;Arbre Ã  Gutta-Percha
48.852346005,2.35182356011;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;125051.0;Arbre;Jardin;PARIS 4E ARRDT;;;59;230.0;3.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;208893;Tamaris
48.8201255055,2.4451177535;Cedrus;libani;LAC DE GRAVELLE - ROUTE DU PESAGE / ROUTE DE LA TOURELLE;2002384.0;Arbre;Jardin;BOIS DE VINCENNES;déc-16;;déc-16;420.0;22.0;M;Inconnue;;1829-01-01T01:02:49+00:53;1;50359;CÃ¨dre
48.8856292413,2.34379244341;Punica;granatum;SQUARE LOUISE MICHEL;125087.0;Arbre;Jardin;PARIS 18E ARRDT;;;1160;30.0;3.0;A;Inconnue;;1952-01-01T02:00:00+01:00;1;51288;Grenadier
48.882331696,2.31024539129;Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;128154.0;Arbre;Jardin;PARIS 17E ARRDT;;;13;383.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;79602;Marronnier
48.8292532091,2.41318205865;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;2002357.0;Arbre;Jardin;BOIS DE VINCENNES;déc-30;;déc-30;504.0;27.0;M;Inconnue;;1871-01-01T01:02:49+00:53;1;158105;Platane
48.8577764958,2.31452314446;Platanus;x hispanica;SQUARE D''AJACCIO;109021.0;Arbre;Jardin;PARIS 7E ARRDT;juil-13;;39;478.0;29.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;179724;Platane
48.8852311185,2.3427055876;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL;112542.0;Arbre;Jardin;PARIS 18E ARRDT;18-oct;;33;420.0;31.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;208233;Pterocarya
48.8341620932,2.38255442632;Platanus;x hispanica;PARC DE BERCY;100818.0;Arbre;Jardin;PARIS 12E ARRDT;déc-36;;373;502.0;35.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;56733;Platane
48.8493511595,2.34503292777;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;132542.0;Arbre;Jardin;PARIS 5E ARRDT;;;1;391.0;24.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;82739;Platane
