Timer,ID,Station,Code Station,Carte de crédit,Etat de la station,Nb bornes disponibles,Nombres de bornes en station,Nombre vélo en PARK+,Nb vélo mécanique,Nb vélo électrique,Etat kiosque,Overflowactivation,geo
2020-02-08 12:44:01,c7a1c1e44ec587f87c3720194d233ee810b39f31,Benjamin Godard - Victor Hugo,16107,no,Operative,32,35,0,0,3,yes,no,"[48.865983, 2.275725]"
2020-02-08 12:44:01,c263109478c84e55930589965b3ade244c508664,André Mazet - Saint-André des Arts,6015,yes,Operative,46,52,0,5,1,yes,no,"[48.85375581057431, 2.3390958085656166]"
2020-02-08 12:44:01,2524a6123f5863d6975a33717b957299283c7fb3,Charonne - Robert et Sonia Delauney,11104,no,Operative,6,20,0,6,8,yes,no,"[48.85590755596891, 2.3925706744194035]"
2020-02-08 12:44:01,31b9f9af5d0407450fa9f99f76accec3b15252b8,Toudouze - Clauzel,9020,yes,Operative,20,21,0,0,0,yes,no,"[48.87929591733507, 2.3373600840568547]"
2020-02-08 12:44:01,ee7da0f6b2423c291639ecf290b60bb757464517,Mairie du 12ème,12109,no,Operative,5,30,0,20,5,yes,no,"[48.84085531176338, 2.3875549435615544]"
2020-02-08 12:44:01,8a1dc88240dd4d9cd880bb932d10cab2971b8df5,Harpe - Saint-Germain,5001,yes,Operative,6,6,0,0,2,yes,no,"[48.85151881501689, 2.343670316040516]"
2020-02-08 12:44:01,66574fa60ba0680ea5608aa9dc42d6f3e7f16ac9,Jourdan - Stade Charléty,14014,yes,Operative,52,60,0,2,6,yes,no,"[48.81942833336948, 2.343335375189781]"
2020-02-08 12:44:01,8631b88aa5f7a6efcb25af398633fbe2d9399c99,Jouffroy d'Abbans - Wagram,17026,yes,Operative,0,0,0,9,2,yes,no,"[48.881973298351625, 2.301132157444954]"
2020-02-08 12:44:01,d8d5c333cd2d1c121408fae733441c299c33c29a,Guersant - Gouvion-Saint-Cyr,17041,yes,Operative,31,38,0,6,1,yes,no,"[48.88287775178599, 2.287667370814871]"
2020-02-08 12:44:01,34292231b94e1f4160af107a621d635291b365d3,Alibert - Jemmapes,10013,yes,Operative,47,59,0,5,6,yes,no,"[48.8710440519842, 2.366104461987773]"
2020-02-08 12:44:01,eab1b1ab09310943759e9d1d6846349582fefaa8,Caumartin - Provence,9104,yes,Operative,6,22,0,6,8,yes,no,"[48.874422773426545, 2.3284685611724854]"
2020-02-08 12:44:01,590a30abd6cfa10472c69b29ed98cbc721728809,Cassini - Denfert-Rochereau,14111,yes,Operative,22,25,0,1,2,yes,no,"[48.83752583906732, 2.336035408079624]"
2020-02-08 12:44:01,58668770339eca4dd5bcba8e56c335f673901bc6,Saint-Sulpice,6003,yes,Operative,17,21,0,4,0,yes,no,"[48.85165383178419, 2.3308077827095985]"
2020-02-08 12:44:01,6b125b74c84bc4b5e990f83c4ad594ffc0afe7db,Le Brun - Gobelins,13007,yes,Operative,27,48,0,12,9,yes,no,"[48.835092787823875, 2.353468135133752]"
